issue_id,quality_aspect,finding,evidence,proposed_treatment
DQ01,Completeness / analytical scope,13 columns are entirely missing in this snapshot.,"neighborhood_overview, host_since, host_response_time, host_response_rate, host_acceptance_rate, host_thumbnail_url, host_neighbourhood, host_total_listings_count, host_verifications, neighbourhood, neighbourhood_group_cleansed, calendar_updated, instant_bookable",Exclude these fields from refined analytical tables; leave the raw source unchanged.
DQ02,Representational consistency,Raw price strings can be parsed consistently and agree with the available numeric quote representation.,51864 observed raw prices; 0 parse failures; 51863 paired numeric values with 0 mismatches; 52318 quote records specify EUR; 2612 quote records are missing; 1943 present quotes omit currency; 0 quote parse errors.,Derive an explicit numeric EUR price field while preserving the raw representation.
DQ03,Completeness / selection risk,Price missingness differs substantially by listing source.,city scrape: 2201/52489 (4.193%); previous scrape: 2808/4384 (64.051%),Retain missing prices and exclude them only from analyses that require price.
DQ04,Semantic missingness,Missing review ratings correspond to listings without reviews rather than unexplained missing values.,16501 ratings are missing; all 16501 occur on listings with zero reviews; 0 are missing despite existing reviews; 0 populated ratings occur on zero-review listings.,Preserve missing review ratings and do not impute them.
DQ05,Completeness / internal consistency,"The textual bathroom field can recover most missing numeric values, while a small number of populated representations conflict.",8847 numeric values are missing; 8792 are recoverable from text; 55 rows lack both representations; 0 present text values fail parsing; 6 conflicts detected.,Fill only missing numeric bathroom values from parsed text and flag existing conflicts without overwriting.
DQ06,Structural tidiness,Amenities are consistently stored as JSON lists within individual listing cells.,56873/56873 cells are valid lists; 0 duplicate amenity items.,Normalise amenities into a separate listing-amenity table.
DQ07,Structural tidiness / redundancy,Host-level attributes are repeated across listing rows without conflicting observed values.,29047 unique hosts; 19 host-level fields checked; 0 host-field conflicts.,Normalise selected host attributes into one row per host_id.
DQ08,Representational consistency,Observed boolean fields use only the expected textual 't' and 'f' representations.,0 unexpected observed boolean values; has_availability has 111 missing values; instant_bookable has 56873 missing values.,Map observed 't'/'f' values to nullable booleans and exclude the entirely empty field from analytical scope.
DQ09,Representational consistency,Observed values in the selected date fields are consistently parseable.,0 parse failures across the selected date fields.,Convert observed date strings to explicit datetime values while preserving missingness.
DQ10,Plausibility / statistical influence,The observed price distribution is strongly right-skewed and contains very large values.,Median: 126.00; mean: 193.84; p99: 1141.56; p99.9: 3525.95; maximum: 88494.55.,Retain extreme values in the refined dataset and use robust summaries plus upper-tail sensitivity analysis to quantify their statistical influence without classifying them as errors.
DQ11,Uniqueness,No exact duplicate rows or duplicated listing IDs were detected.,0 exact duplicate rows; 0 duplicate listing IDs.,Do not apply an unnecessary deduplication step.
DQ12,Structural tidiness / information preservation,The nested raw price-quote object contains additional quote-level and repeated line-item information that is not fully represented by the dedicated quote columns.,"54261 raw quotes are present; 45490 contain nightly_subtotal; 43142 contain discounted_subtotal; 113602 nested line items were found; 13408 nested and dedicated price_per_night values differ above the comparison tolerance, with maximum absolute difference 0.005.","Normalise quote-level attributes and repeated line items into separate relational tables, preserving listing_id and line-item position, before removing the nested quote representation from the refined listings table."
